time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates
24,83.22,-50.8222,674,1,16384,,,,,,,,,,
89,122.07,-51.210699999999996,364,2,32768,0.008812904357910156,0.2,0.01823264,-0.013840993703706773,8.490408897399902,0.0003,-1.9311739720404149,0.22254638671875,53.805809281766415,10
149,187.46,-51.86460000000001,328,3,49152,0.8094062954187393,0.2,0.021665493,-0.019110066249595548,1.004953145980835,0.0003,-1.8962635561823844,0.1652099609375,7.232745189731941,20
204,268.17,-52.67170000000001,321,4,65536,0.9297092333436012,0.2,0.016266188,-0.022411985482176534,0.5244702100753784,0.0003,-1.843700956972316,0.17269287109375,1.8490038275369443,30
269,340.6,-53.34589999999999,303,5,81920,0.9531594142317772,0.2,0.01888361,-0.020712468212514067,0.419622540473938,0.0003,-1.788335441518575,0.181439208984375,1.1441348012303934,40
337,415.08,-54.040600000000005,291,6,98304,0.9533083103597164,0.2,0.027012207,-0.020735578998574054,0.24329374730587006,0.0003,-1.7145983761176466,0.2140869140625,0.7268546325271018,50
399,492.03,-54.76,286,7,114688,0.9539616480469704,0.2,0.017666474,-0.015943921682992367,0.12904542684555054,0.0003,-1.6802625710144639,0.1860595703125,0.5909875802870375,60
452,546.14,-55.10069999999999,289,8,131072,0.9549794532358646,0.2,0.017098743,-0.01729771778518625,0.06048693135380745,0.0003,-1.673374374350533,0.1978759765625,0.5346542462211801,70
508,605.94,-55.5484,289,9,147456,0.941639669239521,0.2,0.020898812,-0.017896121669582498,0.13083600997924805,0.0003,-1.6709293809719383,0.229425048828125,0.583201915860991,80
564,627.67,-55.665499999999994,290,10,163840,0.9491175450384617,0.2,0.022545353,-0.016367566684857594,0.21923302114009857,0.0003,-1.6370058020111173,0.22747802734375,0.785064207483083,90
624,622.76,-55.616400000000006,288,11,180224,0.938240222632885,0.2,0.024551772,-0.015344186648871983,0.21865397691726685,0.0003,-1.648081469302997,0.241400146484375,0.8113335639733122,100
677,659.24,-55.7307,290,12,196608,0.9222345650196075,0.2,0.020152394,-0.012272329111874569,0.17512203752994537,0.0003,-1.6225963357836009,0.226666259765625,1.0795654211135115,110
734,637.86,-55.366600000000005,289,13,212992,0.9434372819960117,0.2,0.019424368,-0.011153811583062634,0.20909449458122253,0.0003,-1.6032861097250133,0.2128173828125,1.3485658403951675,120
795,583.71,-54.574600000000004,288,14,229376,0.8928792998194695,0.2,0.021823676,-0.00994839605591551,0.0745282992720604,0.0003,-1.564394926978275,0.25079345703125,0.942829148855526,130
850,561.15,-54.3991,288,15,245760,0.8276646733283997,0.2,0.019330006,-0.007251727644870698,0.940851092338562,0.0003,-1.5525112093891948,0.2264892578125,1.8771138619747945,140
904,554.69,-54.39804036,289,16,262144,0.900365337729454,0.2,0.019387072,-0.010010944514397125,0.2782838046550751,0.0003,-1.525726486928761,0.205963134765625,1.5934871998470044,150
959,583.65,-54.472470519999995,290,17,278528,0.8889790251851082,0.2,0.018384445,-0.006601804573074332,0.44627508521080017,0.0003,-1.4859356589615345,0.221319580078125,1.5772245175408899,160
1012,593.68,-54.47257052,291,18,294912,0.9332079440355301,0.2,0.018443944,-0.009942127708200132,0.6472418904304504,0.0003,-1.470289938384667,0.20225830078125,1.101304978184635,170
1071,635.04,-54.53547052000001,290,19,311296,0.8848367482423782,0.2,0.023717016,-0.01070958650107059,0.32761427760124207,0.0003,-1.4787694674450904,0.239349365234375,1.477819864821504,180
1130,645.89,-54.996,289,20,327680,0.9221866056323051,0.2,0.023868933,-0.011365744070099026,0.5883102416992188,0.0003,-1.445247528143227,0.2269287109375,1.3077946783188963,190
1191,629.53,-55.032799999999995,288,21,344064,0.9105990901589394,0.2,0.022801213,-0.009143870031584811,0.6372153162956238,0.0003,-1.4639988879673183,0.24989013671875,1.4556814264971762,200
1246,678.24,-55.720299999999995,289,22,360448,0.900867648422718,0.2,0.023699492,-0.010593142749075923,0.1786138117313385,0.0003,-1.448195509845391,0.251495361328125,1.3221786692593014,210
1311,686.79,-55.75570000000002,287,23,376832,0.9152288809418678,0.2,0.023143675,-0.009749787687997013,0.1872306764125824,0.0003,-1.4795551140792669,0.240460205078125,1.3955341661436251,220
1365,682.77,-55.6153,288,24,393216,0.9064559265971184,0.2,0.025133563,-0.01007503354230721,0.2825324833393097,0.0003,-1.4249420000705868,0.25771484375,1.20677565918013,230
1417,692.79,-55.865800000000014,288,25,409600,0.9373516067862511,0.2,0.02150435,-0.008616552151943324,0.6664578914642334,0.0003,-1.4116100595332681,0.215277099609375,1.3800751642411342,240
1469,726.62,-55.903499999999994,289,26,425984,0.916492186486721,0.2,0.023009554,-0.007648743109530187,0.6089920997619629,0.0003,-1.4181368466932327,0.242938232421875,1.787036511473707,250
1527,767.46,-55.946430159999984,289,27,442368,0.9529983922839165,0.2,0.026898613,-0.01047828484161073,0.20529453456401825,0.0003,-1.443320572981611,0.245947265625,0.7351188833679771,260
1584,767.99,-56.152130159999984,289,28,458752,0.9500955417752266,0.2,0.022756983,-0.010455840922986681,0.11596210300922394,0.0003,-1.427911193482578,0.229949951171875,0.8900461794284638,270
1639,801.74,-56.48963015999999,289,29,475136,0.9226778447628021,0.2,0.024069188,-0.011012142858271545,0.257510244846344,0.0003,-1.4333688464947045,0.227630615234375,1.159875681079575,280
1692,822.37,-56.39533015999999,290,30,491520,0.9484814889729023,0.2,0.02774131,-0.009796548716167308,0.17752933502197266,0.0003,-1.4340755752753467,0.24283447265625,1.2015205830626656,290
1748,764.97,-56.236900000000006,290,31,507904,0.9372683241963387,0.2,0.027472563,-0.01092169828752958,3.5296425819396973,0.0003,-1.4040497966576369,0.2560302734375,1.8367198814608856,300
1809,720.63,-55.84360000000001,289,32,524288,0.9244238883256912,0.2,0.024795704,-0.008889466491109489,0.33969348669052124,0.0003,-1.3976814670022577,0.232421875,1.6776211537508061,310
1868,703.92,-55.526199999999996,289,33,540672,0.9196918234229088,0.2,0.021329615,-0.00975206242492277,0.176968052983284,0.0003,-1.365420563938096,0.233966064453125,1.2504634703713235,320
1925,684.79,-55.735699999999994,289,34,557056,0.9197900965809822,0.2,0.025510993,-0.009191064853439457,0.33973801136016846,0.0003,-1.4219137764070182,0.255218505859375,1.2214126841485267,330
1982,711.67,-56.0045,289,35,573440,0.9428033009171486,0.2,0.020656478,-0.008761409068574722,0.711241602897644,0.0003,-1.3983749547973274,0.221783447265625,1.5427094079379458,340
2039,553.09,-54.8696,289,36,589824,0.949580866843462,0.2,0.076608956,-0.011027601590649283,0.8077645301818848,0.0003,-1.4520809165202082,0.2984619140625,0.9815618286374956,350
2104,475.36,-54.24260000000001,288,37,606208,0.7207769453525543,0.2,0.031944714,-0.0037233420453048893,1.4275999069213867,0.0003,-1.4037654365878551,0.274072265625,5.4458334019989705,360
2158,451.81,-54.00710000000001,288,38,622592,0.8937424719333649,0.2,0.025974179,-0.01099466862706322,0.2576497197151184,0.0003,-1.3639187710359693,0.2557373046875,2.342676771810511,370
2208,482.59,-54.21469999999999,289,39,638976,0.8554974347352982,0.2,0.028598199,-0.012714347852488572,0.3255178928375244,0.0003,-1.3380796182435006,0.26905517578125,2.6272946347948163,380
2262,523.44,-54.4729,289,40,655360,0.8015782833099365,0.2,0.03195172,-0.01258668638420204,4.622681617736816,0.0003,-1.3469271295703948,0.2878173828125,3.221247884584591,390
2321,584.61,-55.08460000000001,289,41,671744,0.890951007604599,0.2,0.026954006,-0.009732500824793534,0.41115155816078186,0.0003,-1.2215907221660018,0.2481201171875,1.4927509697328787,400
2380,669.15,-55.779700000000005,289,42,688128,0.8272663056850433,0.2,0.025844399,-0.011088703118002741,0.42277610301971436,0.0003,-1.148546466906555,0.2300537109375,2.5015392443543534,410
2431,771.32,-56.70119999999999,289,43,704512,0.8651553243398666,0.2,0.048733816,-0.01260071748838527,0.3889501094818115,0.0003,-1.046317458152771,0.275738525390625,1.5606703850236954,420
2482,847.71,-57.41499999999999,290,44,720896,0.8792902827262878,0.2,0.029741429,-0.011535891704988898,0.3756606876850128,0.0003,-1.0321507424116134,0.235589599609375,1.8338337454828433,430
2539,938.62,-58.00873016000001,290,45,737280,0.8095690459012985,0.2,0.029818732,-0.005856489000143484,0.17003865540027618,0.0003,-0.8896537194726989,0.2105224609375,1.5624103741138242,440
2600,1033.93,-58.911730160000005,289,46,753664,0.7921981811523438,0.2,0.03078655,-0.006042693128802057,0.1205301284790039,0.0003,-0.7726048969198018,0.179541015625,1.7107614321197615,450
2656,1111.27,-59.73523016,289,47,770048,0.8245648592710495,0.2,0.023779785,-0.0063246356050512985,0.42326733469963074,0.0003,-0.8584514557151124,0.1647705078125,1.4336848838953302,460
2713,1165.55,-60.32813015999999,289,48,786432,0.8287435173988342,0.2,0.02116379,-0.008533353450002324,0.10912635922431946,0.0003,-0.8063332442194223,0.1625244140625,1.3008125476844725,470
2765,1144.46,-60.31763016,290,49,802816,0.8599838763475418,0.2,0.033539534,-0.005977552654076135,0.3370530903339386,0.0003,-0.81883487876039,0.17379150390625,1.4206273257972497,480
2820,1142.94,-60.35253015999999,290,50,819200,0.5882076621055603,0.2,0.032211393,-0.012710526656155708,0.263878732919693,0.0003,-0.5559898492530919,0.145892333984375,1.3123726900230395,490
2878,573.89,-55.6788,290,51,835584,0.7526184469461441,0.2,0.050920635,-0.0084117706392135,0.08485682308673859,0.0003,-0.4587664814607706,0.17978515625,0.9342193611548282,500
2932,348.67,-53.4767,290,52,851968,0.37036728858947754,0.2,0.028348513,-0.004541921142481442,0.9147907495498657,0.0003,-0.9215185982408002,0.198321533203125,5.024584083259105,510
2985,338.85,-53.328399999999995,290,53,868352,0.7709662914276123,0.2,0.021107988,-0.013465031011583051,5.472335338592529,0.0003,-0.563185096415691,0.134674072265625,1.9244155957770999,520
3035,389.23,-53.83219999999999,291,54,884736,0.846503347158432,0.2,0.01604953,-0.01305537368189107,0.24127012491226196,0.0003,-0.4157076127885375,0.099658203125,1.8898259038222023,530
3091,675.15,-56.64130000000001,291,55,901120,0.897777870297432,0.2,0.06608822,-0.009591800763155333,0.04640655964612961,0.0003,-0.4981851813849062,0.218011474609375,0.6438479070915492,540
3148,723.84,-57.1282,291,56,917504,0.7737273871898651,0.2,0.037578613,-0.014253811598064204,1.4305249452590942,0.0003,-0.6469602406257764,0.172509765625,1.9963603707030415,550
